Hartsfield Jackson Atlanta International Airport,ATL,-84.42810059,33.63669968
Beijing Capital International Airport,PEK,116.5849991,40.08010101
Dubai International Airport,DXB,55.36439896,25.25279999
Los Angeles International Airport,LAX,-118.4079971,33.94250107
Tokyo Haneda International Airport,HND,139.779999,35.552299
Chicago O'Hare International Airport,ORD,-87.90480042,41.97859955
London Heathrow Airport,LHR,-0.461941,51.4706
Chek Lap Kok International Airport,HKG,113.9150009,22.30890083
Shanghai Pudong International Airport,PVG,121.8050003,31.14340019
Charles de Gaulle International Airport,CDG,2.549999952,49.01279831
Dallas Fort Worth International Airport,DFW,-97.03800201,32.89680099
Amsterdam Airport Schiphol,AMS,4.76388979,52.30860138
Frankfurt am Main International Airport,FRA,8.5705556,50.0333333
Atatürk International Airport,IST,28.81459999,40.97689819
Guangzhou Baiyun International Airport,CAN,113.2990036,23.39240074
John F Kennedy International Airport,JFK,-73.77890015,40.63980103
Singapore Changi Airport,SIN,103.994003,1.35019
Denver International Airport,DEN,-104.6729965,39.86169815
Incheon International Airport,ICN,126.4509964,37.46910095
Suvarnabhumi Airport,BKK,100.7470016,13.68109989
Indira Gandhi International Airport,DEL,77.10310364,28.56649971
Soekarno-Hatta International Airport,CGK,106.6559982,-6.12556982
San Francisco International Airport,SFO,-122.375,37.61899948
Kuala Lumpur International Airport,KUL,101.7099991,2.745579958
Adolfo Suárez Madrid–Barajas Airport,MAD,-3.56264,40.471926
McCarran International Airport,LAS,-115.1520004,36.08010101
Chengdu Shuangliu International Airport,CTU,103.9469986,30.57850075
Seattle Tacoma International Airport,SEA,-122.3089981,47.44900131
Chhatrapati Shivaji International Airport,BOM,72.86789703,19.08869934
Miami International Airport,MIA,-80.29060364,25.79319954
Charlotte Douglas International Airport,CLT,-80.94309998,35.2140007
Lester B. Pearson International Airport,YYZ,-79.63059998,43.67720032
Barcelona International Airport,BCN,2.078459978,41.29710007
Phoenix Sky Harbor International Airport,PHX,-112.012001,33.43429947
London Gatwick Airport,LGW,-0.190277994,51.14810181
Taiwan Taoyuan International Airport,TPE,121.233002,25.0777
Munich International Airport,MUC,11.78610039,48.35380173
Kunming Changshui International Airport,KMG,102.9291667,25.1019444
Shenzhen Bao'an International Airport,SZX,113.810997,22.63929939
Orlando International Airport,MCO,-81.30899811,28.42939949
Sydney Kingsford Smith International Airport,SYD,151.177002,-33.94609833
Leonardo da Vinci–Fiumicino Airport,FCO,12.2388889,41.8002778
Licenciado Benito Juarez International Airport,MEX,-99.072098,19.4363
George Bush Intercontinental Houston Airport,IAH,-95.34140015,29.9843998
Shanghai Hongqiao International Airport,SHA,121.3359985,31.19790077
Newark Liberty International Airport,EWR,-74.16870117,40.69250107
Ninoy Aquino International Airport,MNL,121.019997,14.5086
Narita International Airport,NRT,140.3860016,35.76470184
Minneapolis-St Paul International/Wold-Chamberlain Airport,MSP,-93.22180176,44.88199997
Hamad Intl,DOH,51.608056,25.273056
